dataset,support_cutoff,margin_relaxation,active_consensus_books,conflict_books,qwk,mae,exact_accuracy,catastrophic_error_rate
core120,0.5,0.25,28,28,0.8168413777214607,0.425,0.5833333333333334,0.008333333333333333
core120,0.5,0.5,28,28,0.8168413777214607,0.425,0.5833333333333334,0.008333333333333333
core120,0.5,0.75,28,28,0.8168413777214607,0.425,0.5833333333333334,0.008333333333333333
core120,0.6,0.25,34,34,0.8253424657534246,0.4083333333333333,0.6,0.008333333333333333
core120,0.6,0.5,34,34,0.8253424657534246,0.4083333333333333,0.6,0.008333333333333333
core120,0.6,0.75,34,34,0.8253424657534246,0.4083333333333333,0.6,0.008333333333333333
core120,0.7,0.25,38,46,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.7,0.5,38,46,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.7,0.75,38,46,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.8,0.25,41,54,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.8,0.5,41,54,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.8,0.75,41,54,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.9,0.25,41,67,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.9,0.5,41,67,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.9,0.75,41,67,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.95,0.25,41,76,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.95,0.5,41,76,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
core120,0.95,0.75,41,76,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.008333333333333333
waveD28,0.5,0.25,6,7,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.5,0.5,6,7,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.5,0.75,6,7,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.6,0.25,7,8,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.6,0.5,7,8,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.6,0.75,7,8,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.7,0.25,7,11,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.7,0.5,7,11,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.7,0.75,7,11,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.8,0.25,7,15,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.8,0.5,7,15,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.8,0.75,7,15,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.9,0.25,7,18,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.9,0.5,7,18,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.9,0.75,7,18,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.95,0.25,7,20,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.95,0.5,7,20,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
waveD28,0.95,0.75,7,20,0.7861111111111111,0.39285714285714285,0.6071428571428571,0.0
sourceOOF,0.5,0.25,26,40,0.8573127229488704,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.5,0.5,26,40,0.8573127229488704,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.5,0.75,26,40,0.8573127229488704,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.6,0.25,30,48,0.8573127229488704,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.6,0.5,30,48,0.8573127229488704,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.6,0.75,30,48,0.8573127229488704,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.7,0.25,32,51,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.7,0.5,32,51,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.7,0.75,32,51,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.8,0.25,35,56,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.8,0.5,35,56,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.8,0.75,35,56,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.9,0.25,35,60,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.9,0.5,35,60,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.9,0.75,35,60,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.95,0.25,35,61,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.95,0.5,35,61,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
sourceOOF,0.95,0.75,35,61,0.8580255028263442,0.40625,0.6145833333333334,0.010416666666666666
