dataset,method,qwk,mae,exact_accuracy,adjacent_accuracy,catastrophic_error_rate,worst_source_mae,mae_standard_error,worst_source_mae_standard_error,ordinal_brier,class_nll,ece_10bin,risk_coverage_mae_auc,mae_global_asp,mae_global_digital_library,mae_storyweaver
core120,ra_scope,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.9916666666666667,0.008333333333333333,0.5,0.04671765921511568,0.1889822365046136,0.08274181947294618,1.41112284499483,0.20274490049729743,0.4178516709999626,0.391304347826087,0.5,0.4157303370786517
core120,uniform_pool,0.7903837044054951,0.4583333333333333,0.5583333333333333,0.9833333333333333,0.016666666666666666,0.5,0.048645279441600985,0.1889822365046136,0.08510427844922959,1.4429999988140403,0.18656457343778832,0.4368446703806971,0.43478260869565216,0.5,0.4606741573033708
core120,full_agreement_without_support,0.8227171998409001,0.4166666666666667,0.5916666666666667,0.9916666666666667,0.008333333333333333,0.5,0.04671765921511568,0.1889822365046136,0.0826158426845439,1.41112284499483,0.2026878509049614,0.4156970564004713,0.391304347826087,0.5,0.4157303370786517
core120,both_anchors_supported,0.8151592652871426,0.425,0.5833333333333334,0.9916666666666667,0.008333333333333333,0.5,0.04683617673316634,0.1889822365046136,0.08416269993627136,1.4281882567166855,0.18384486654701865,0.44331295384291824,0.391304347826087,0.5,0.42696629213483145
core120,qualified_subset_contract,0.7989837511865543,0.45,0.575,0.975,0.025,0.5,0.05,0.1889822365046136,0.08362016490211355,1.4483803965307667,0.19978269908467325,0.45948822178778287,0.43478260869565216,0.5,0.449438202247191
core120,length_ordinal,0.7667668705296984,0.5416666666666666,0.49166666666666664,0.975,0.025,0.875,0.0527876053555978,0.125,0.07974613466956161,1.3059488668951882,0.2736722737866173,0.5434277981742004,0.5217391304347826,0.875,0.5168539325842697
core120,char_tfidf,0.5773647448798389,0.7083333333333334,0.425,0.875,0.125,0.7865168539325843,0.06416434751529461,0.0774199479675566,0.1889590795836702,4.040119107256446,0.36904476324170415,0.946241545258712,0.5217391304347826,0.375,0.7865168539325843
core120,standard_measurements,0.6223903177004538,0.6333333333333333,0.4666666666666667,0.9166666666666666,0.08333333333333333,0.651685393258427,0.06254783416946091,0.07340598135679713,0.09646233591174275,3.1324234082236186,0.2643385264556404,0.6346356088206141,0.5652173913043478,0.625,0.651685393258427
core120,finetuned_macbert,0.763140817650876,0.5583333333333333,0.4666666666666667,0.975,0.025,0.75,0.04992407868072795,0.16366341767699427,0.0910660928613915,1.4939833838724361,0.3085196744236681,0.5043553242327179,0.4782608695652174,0.75,0.5617977528089888
core120,qwen25_3b_rubric,0.5380247763248451,0.825,0.425,0.8166666666666667,0.18333333333333332,0.9775280898876404,0.08255589736945622,0.10229432401512735,0.12883047947341478,2.01968382870473,0.2685554255107226,0.7494802171419026,0.43478260869565216,0.25,0.9775280898876404
waveD28,ra_scope,0.7861111111111111,0.39285714285714285,0.6071428571428571,1.0,0.0,0.46153846153846156,0.09398983557402389,0.14390989949130545,0.06846896635925907,1.3525697762418016,0.22936987025397165,0.39964384939223624,0.46153846153846156,0.375,0.2857142857142857
waveD28,uniform_pool,0.7861111111111111,0.39285714285714285,0.6071428571428571,1.0,0.0,0.46153846153846156,0.09398983557402389,0.14390989949130545,0.07033930714219923,1.3619259519943465,0.24487733840942386,0.442250620602442,0.46153846153846156,0.375,0.2857142857142857
waveD28,full_agreement_without_support,0.7861111111111111,0.39285714285714285,0.6071428571428571,1.0,0.0,0.46153846153846156,0.09398983557402389,0.14390989949130545,0.06846896635925907,1.3525697762418016,0.22936987025397165,0.39964384939223624,0.46153846153846156,0.375,0.2857142857142857
waveD28,both_anchors_supported,0.7861111111111111,0.39285714285714285,0.6071428571428571,1.0,0.0,0.46153846153846156,0.09398983557402389,0.14390989949130545,0.06904742227351107,1.3496762237097053,0.24953726679086688,0.4067945002070549,0.46153846153846156,0.375,0.2857142857142857
waveD28,qualified_subset_contract,0.8014184397163121,0.35714285714285715,0.6428571428571429,1.0,0.0,0.46153846153846156,0.09221388919541469,0.14390989949130545,0.06708173670834343,1.421382976813987,0.26622612721153666,0.40839997532312,0.46153846153846156,0.25,0.2857142857142857
waveD28,length_ordinal,0.7720488466757124,0.42857142857142855,0.5714285714285714,1.0,0.0,0.5,0.09523809523809525,0.1889822365046136,0.06704524120077647,1.2018838825805496,0.26461555265486214,0.3889534076936482,0.46153846153846156,0.5,0.2857142857142857
waveD28,char_tfidf,0.4871794871794872,0.7857142857142857,0.35714285714285715,0.8571428571428571,0.14285714285714285,0.9230769230769231,0.12968360824101738,0.2106625221173716,0.19176270703699924,3.575477991187149,0.27354050358511145,1.2393657905492723,0.9230769230769231,0.625,0.7142857142857143
waveD28,standard_measurements,0.619808306709265,0.5357142857142857,0.5,0.9642857142857143,0.03571428571428571,0.6923076923076923,0.10889224392073209,0.17484848329469044,0.07428960387838603,3.4740935714977206,0.3833975813452876,0.4154427826031397,0.6923076923076923,0.625,0.14285714285714285
waveD28,finetuned_macbert,0.6720351390922401,0.5714285714285714,0.42857142857142855,1.0,0.0,0.875,0.09523809523809525,0.125,0.07860074790709294,1.3679696676632938,0.3615623871307997,0.41511447759924724,0.46153846153846156,0.875,0.42857142857142855
waveD28,qwen25_3b_rubric,0.6031886625332151,0.7142857142857143,0.4642857142857143,0.8571428571428571,0.14285714285714285,1.1428571428571428,0.15307382160306274,0.34006802040680234,0.1088352225025097,1.5666678353359609,0.36180477789071175,0.47173850439011294,0.6923076923076923,0.375,1.1428571428571428
