label_view,aggregate,spearman,qwk_rounded,mae_rounded,exact_rounded,within_one_rounded
p01,mean_all10,0.9539565617972006,0.8840538219295735,0.225,0.775,1.0
p01,median_all10,0.9678136905291601,0.9630723781388478,0.08333333333333333,0.9166666666666666,1.0
p01,upper_quartile_all10,0.94903778475481,0.9124036440084092,0.20833333333333334,0.7916666666666666,1.0
p01,maximum_all10,0.12703423651387546,0.02884772988034745,2.8583333333333334,0.06666666666666667,0.14166666666666666
p01,mean_language7,0.9569738615139481,0.9306876868714324,0.14166666666666666,0.8583333333333333,1.0
p01,mean_presentation3,0.8713122139722617,0.5145049148885159,0.8416666666666667,0.3,0.8583333333333333
p02,mean_all10,0.9246275057388191,0.7931466778102799,0.275,0.725,1.0
p02,median_all10,0.8892903057135993,0.8757413160124259,0.18333333333333332,0.8166666666666667,1.0
p02,upper_quartile_all10,0.9508918189350001,0.936096565190379,0.1,0.9,1.0
p02,maximum_all10,0.2827602387931616,0.03853296685804031,3.3333333333333335,0.041666666666666664,0.08333333333333333
p02,mean_language7,0.9258358238843729,0.8632608489222295,0.2,0.8,1.0
p02,mean_presentation3,0.7866349763690414,0.3758127438231469,0.8833333333333333,0.30833333333333335,0.8083333333333333
p03,mean_all10,0.9412651730561271,0.8434004474272931,0.2916666666666667,0.7083333333333334,1.0
p03,median_all10,0.912974190703402,0.7753036437246963,0.5666666666666667,0.4583333333333333,0.975
p03,upper_quartile_all10,0.8908595844783537,0.5303967965052785,1.175,0.11666666666666667,0.725
p03,maximum_all10,0.5096891670347673,0.06843267108167761,2.5166666666666666,0.0,0.075
p03,mean_language7,0.9441375221206577,0.9043062200956937,0.16666666666666666,0.8333333333333334,1.0
p03,mean_presentation3,0.8334102413645031,0.44589774078478006,1.2416666666666667,0.1,0.6666666666666666
adjudicated,mean_all10,0.9353798386388892,0.8179848320693391,0.35,0.65,1.0
adjudicated,median_all10,0.934631360599239,0.9037184594953519,0.24166666666666667,0.7583333333333333,1.0
adjudicated,upper_quartile_all10,0.9203210693242911,0.675191727105528,0.8666666666666667,0.3416666666666667,0.8
adjudicated,maximum_all10,0.1752801781367354,0.024607414602557998,2.9583333333333335,0.016666666666666666,0.08333333333333333
adjudicated,mean_language7,0.932334968581466,0.8769622401357657,0.24166666666666667,0.7583333333333333,1.0
adjudicated,mean_presentation3,0.8488129282849082,0.4345526335394473,1.2916666666666667,0.10833333333333334,0.6083333333333333
