dataset,slice_type,slice_name,books,lineage_groups,primary,comparator,qwk_delta_low,qwk_delta_median,qwk_delta_high,qwk_delta_valid_replicates,mae_delta_low,mae_delta_median,mae_delta_high,mae_delta_valid_replicates,exact_accuracy_delta_low,exact_accuracy_delta_median,exact_accuracy_delta_high,exact_accuracy_delta_valid_replicates,catastrophic_error_rate_delta_low,catastrophic_error_rate_delta_median,catastrophic_error_rate_delta_high,catastrophic_error_rate_delta_valid_replicates,primary_better,tie,primary_worse
core120,level_band,L3,40,40,ra_scope,finetuned_macbert,,,,0,-0.4,-0.175,0.04999999999999999,10000,-0.050000000000000044,0.15000000000000002,0.35000000000000003,10000,-0.1,-0.025,0.05,10000,13,20,7
core120,level_band,L3,40,40,ra_scope,qwen25_3b_rubric,,,,0,-0.7500000000000001,-0.45,-0.12500000000000006,10000,-0.07499999999999996,0.125,0.325,10000,-0.425,-0.275,-0.12499999999999999,10000,18,16,6
core120,level_band,L4-L5,34,34,ra_scope,uniform_pool,-0.03939161465749949,0.06276692782068644,0.21831694594469808,9854,-0.35294117647058826,-0.20588235294117646,-0.08823529411764702,10000,0.05882352941176472,0.17647058823529416,0.32352941176470584,10000,-0.08823529411764706,-0.029411764705882353,0.0,10000,7,27,0
core120,level_band,L4-L5,34,34,ra_scope,length_ordinal,0.0,0.02556583201744511,0.0541339348214982,9852,-0.17647058823529416,-0.05882352941176472,0.0,10000,0.0,0.0,0.0,10000,-0.08823529411764706,-0.029411764705882353,0.0,10000,1,33,0
core120,level_band,L4-L5,34,34,ra_scope,char_tfidf,0.018157543391188247,0.08675108675108667,0.17191977077363885,9854,0.08823529411764705,0.20588235294117646,0.3529411764705882,10000,-0.3529411764705882,-0.2058823529411764,-0.08823529411764697,10000,0.0,0.0,0.0,10000,0,27,7
core120,level_band,L4-L5,34,34,ra_scope,standard_measurements,-0.09518474937463953,0.026413507142476034,0.13332163530556393,9879,-0.7941176470588234,-0.5294117647058822,-0.29411764705882354,10000,0.1764705882352941,0.35294117647058826,0.5294117647058824,10000,-0.23529411764705882,-0.11764705882352941,-0.029411764705882353,10000,16,17,1
core120,level_band,L4-L5,34,34,ra_scope,finetuned_macbert,-0.2664575716389809,-0.07691561904146338,0.022659155778253764,9873,-0.2647058823529412,-0.05882352941176472,0.14705882352941174,10000,-0.1470588235294118,0.02941176470588236,0.20588235294117652,10000,-0.08823529411764706,-0.029411764705882353,0.0,10000,7,22,5
core120,level_band,L4-L5,34,34,ra_scope,qwen25_3b_rubric,-0.06766893947187609,0.028866562897976622,0.09242507858381915,9845,-0.8529411764705881,-0.5588235294117647,-0.2647058823529411,10000,0.1470588235294118,0.411764705882353,0.6470588235294117,10000,-0.2647058823529412,-0.14705882352941177,-0.029411764705882353,10000,20,9,5
core120,single_level,L2,35,35,ra_scope,uniform_pool,,,,0,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0.0,0.0,0.0,10000,0,35,0
core120,single_level,L2,35,35,ra_scope,length_ordinal,,,,0,-0.3714285714285714,-0.19999999999999996,-0.05714285714285705,10000,0.057142857142857134,0.2,0.3714285714285714,10000,0.0,0.0,0.0,10000,8,26,1
core120,single_level,L2,35,35,ra_scope,char_tfidf,,,,0,-0.7142857142857143,-0.37142857142857144,-0.02857142857142858,10000,-0.2285714285714286,0.0,0.2285714285714286,10000,-0.5428571428571428,-0.37142857142857144,-0.2,10000,16,10,9
core120,single_level,L2,35,35,ra_scope,standard_measurements,,,,0,-0.17142857142857143,0.0,0.17142857142857143,10000,-0.17142857142857137,0.0,0.17142857142857137,10000,0.0,0.0,0.0,10000,4,27,4
core120,single_level,L2,35,35,ra_scope,finetuned_macbert,,,,0,-0.4,-0.22857142857142854,-0.05714285714285705,10000,0.057142857142857134,0.22857142857142856,0.4,10000,0.0,0.0,0.0,10000,10,23,2
core120,single_level,L2,35,35,ra_scope,qwen25_3b_rubric,,,,0,-0.6285714285714286,-0.1428571428571429,0.28571428571428575,10000,-0.45714285714285713,-0.17142857142857143,0.11428571428571427,10000,-0.2571428571428571,-0.14285714285714285,-0.02857142857142857,10000,12,7,16
core120,single_level,L3,40,40,ra_scope,uniform_pool,,,,0,0.0,0.04999999999999999,0.125,10000,-0.125,-0.04999999999999993,0.0,10000,0.0,0.0,0.0,10000,0,38,2
core120,single_level,L3,40,40,ra_scope,length_ordinal,,,,0,-0.325,-0.15000000000000002,0.025000000000000022,10000,-0.050000000000000044,0.125,0.3,10000,-0.07500000000000001,-0.025,0.0,10000,10,26,4
core120,single_level,L3,40,40,ra_scope,char_tfidf,,,,0,-0.725,-0.525,-0.32499999999999996,10000,0.37499999999999994,0.55,0.725,10000,0.0,0.025,0.075,10000,24,13,3
core120,single_level,L3,40,40,ra_scope,standard_measurements,,,,0,-0.17500000000000004,-0.04999999999999999,0.07500000000000007,10000,-0.125,-0.025000000000000022,0.07500000000000007,10000,-0.15000000000000002,-0.075,0.0,10000,5,32,3
core120,single_level,L3,40,40,ra_scope,finetuned_macbert,,,,0,-0.4,-0.175,0.050000000000000044,10000,-0.050000000000000044,0.15000000000000002,0.35000000000000003,10000,-0.1,-0.025,0.05,10000,13,20,7
core120,single_level,L3,40,40,ra_scope,qwen25_3b_rubric,,,,0,-0.7500000000000001,-0.45,-0.125,10000,-0.07499999999999996,0.125,0.32499999999999996,10000,-0.425,-0.27499999999999997,-0.12499999999999999,10000,18,16,6
core120,single_level,L4,30,30,ra_scope,uniform_pool,,,,0,-0.36666666666666664,-0.2,-0.06666666666666665,10000,0.06666666666666665,0.19999999999999996,0.36666666666666664,10000,0.0,0.0,0.0,10000,6,24,0
core120,single_level,L4,30,30,ra_scope,length_ordinal,,,,0,-0.2,-0.06666666666666665,0.0,10000,0.0,0.0,0.0,10000,-0.1,-0.03333333333333333,0.0,10000,1,29,0
core120,single_level,L4,30,30,ra_scope,char_tfidf,,,,0,0.09999999999999999,0.23333333333333334,0.4,10000,-0.4,-0.2333333333333334,-0.09999999999999998,10000,0.0,0.0,0.0,10000,0,23,7
core120,single_level,L4,30,30,ra_scope,standard_measurements,,,,0,-0.8666666666666667,-0.6000000000000001,-0.36666666666666664,10000,0.2666666666666666,0.4333333333333333,0.6000000000000001,10000,-0.2,-0.1,0.0,10000,15,15,0
core120,single_level,L4,30,30,ra_scope,finetuned_macbert,,,,0,-0.30000000000000004,-0.09999999999999998,0.10000000000000003,10000,-0.13333333333333341,0.06666666666666665,0.2666666666666667,10000,-0.1,-0.03333333333333333,0.0,10000,7,19,4
core120,single_level,L4,30,30,ra_scope,qwen25_3b_rubric,,,,0,-1.0333333333333332,-0.7666666666666666,-0.5,10000,0.39999999999999997,0.6,0.8,10000,-0.3,-0.16666666666666666,-0.03333333333333333,10000,20,9,1
core120,source_contrast,non_storyweaver,31,31,ra_scope,uniform_pool,0.0,0.0697255960413855,0.15143333267881157,10000,-0.09677419354838712,-0.032258064516129004,0.0,10000,0.0,0.0,0.0,10000,-0.0967741935483871,-0.03225806451612903,0.0,10000,1,30,0
core120,source_contrast,non_storyweaver,31,31,ra_scope,length_ordinal,0.03162950754686767,0.1108585878227698,0.26066936248404005,10000,-0.3548387096774193,-0.1935483870967742,-0.06451612903225806,10000,0.06451612903225806,0.1935483870967742,0.3548387096774193,10000,0.0,0.0,0.0,10000,6,25,0
core120,source_contrast,non_storyweaver,31,31,ra_scope,char_tfidf,-0.14411042333778665,0.03695465900396777,0.21849275569409643,10000,-0.3548387096774193,-0.06451612903225806,0.19354838709677424,10000,-0.22580645161290325,0.032258064516129004,0.2903225806451613,10000,-0.0967741935483871,-0.03225806451612903,0.0,10000,9,14,8
core120,source_contrast,non_storyweaver,31,31,ra_scope,standard_measurements,-0.0011092807830089633,0.23548147457971286,0.46930238806075236,10000,-0.41935483870967744,-0.16129032258064513,0.09677419354838707,10000,-0.12903225806451613,0.06451612903225806,0.25806451612903225,10000,-0.22580645161290322,-0.0967741935483871,0.0,10000,7,20,4
core120,source_contrast,non_storyweaver,31,31,ra_scope,finetuned_macbert,0.012857954078501547,0.07191084327875424,0.19593904085563202,10000,-0.25806451612903225,-0.12903225806451613,-0.032258064516129004,10000,0.032258064516129004,0.12903225806451613,0.25806451612903225,10000,0.0,0.0,0.0,10000,4,27,0
