dataset,slice_type,slice_name,books,lineage_groups,inferential_status,method,qwk,mae,exact_accuracy,adjacent_accuracy,catastrophic_error_rate
core120,level_band,L3,40,40,secondary_cluster_bootstrap,char_tfidf,,0.9,0.1,1.0,0.0
core120,level_band,L3,40,40,secondary_cluster_bootstrap,standard_measurements,,0.425,0.675,0.9,0.1
core120,level_band,L3,40,40,secondary_cluster_bootstrap,finetuned_macbert,,0.55,0.5,0.95,0.05
core120,level_band,L3,40,40,secondary_cluster_bootstrap,qwen25_3b_rubric,,0.825,0.525,0.7,0.3
core120,level_band,L4-L5,34,34,secondary_cluster_bootstrap,ra_scope,0.13559322033898302,0.35294117647058826,0.6470588235294118,1.0,0.0
core120,level_band,L4-L5,34,34,secondary_cluster_bootstrap,uniform_pool,0.0678851174934727,0.5588235294117647,0.47058823529411764,0.9705882352941176,0.029411764705882353
core120,level_band,L4-L5,34,34,secondary_cluster_bootstrap,length_ordinal,0.10526315789473695,0.4117647058823529,0.6470588235294118,0.9705882352941176,0.029411764705882353
core120,level_band,L4-L5,34,34,secondary_cluster_bootstrap,char_tfidf,0.04494382022471921,0.14705882352941177,0.8529411764705882,1.0,0.0
core120,level_band,L4-L5,34,34,secondary_cluster_bootstrap,standard_measurements,0.10114942528735626,0.8823529411764706,0.29411764705882354,0.8823529411764706,0.11764705882352941
core120,level_band,L4-L5,34,34,secondary_cluster_bootstrap,finetuned_macbert,0.21387283236994226,0.4117647058823529,0.6176470588235294,0.9705882352941176,0.029411764705882353
core120,level_band,L4-L5,34,34,secondary_cluster_bootstrap,qwen25_3b_rubric,0.09831824062095751,0.9117647058823529,0.23529411764705882,0.8529411764705882,0.14705882352941177
core120,single_level,L1,11,11,descriptive_only_sparse,ra_scope,,0.0,1.0,1.0,0.0
core120,single_level,L1,11,11,descriptive_only_sparse,uniform_pool,,0.0,1.0,1.0,0.0
core120,single_level,L1,11,11,descriptive_only_sparse,length_ordinal,,0.0,1.0,1.0,0.0
core120,single_level,L1,11,11,descriptive_only_sparse,char_tfidf,,0.7272727272727273,0.5454545454545454,0.8181818181818182,0.18181818181818182
core120,single_level,L1,11,11,descriptive_only_sparse,standard_measurements,,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.18181818181818182
core120,single_level,L1,11,11,descriptive_only_sparse,finetuned_macbert,,0.0,1.0,1.0,0.0
core120,single_level,L1,11,11,descriptive_only_sparse,qwen25_3b_rubric,,0.6363636363636364,0.36363636363636365,1.0,0.0
core120,single_level,L2,35,35,secondary_cluster_bootstrap,ra_scope,,0.6571428571428571,0.34285714285714286,1.0,0.0
core120,single_level,L2,35,35,secondary_cluster_bootstrap,uniform_pool,,0.6571428571428571,0.34285714285714286,1.0,0.0
core120,single_level,L2,35,35,secondary_cluster_bootstrap,length_ordinal,,0.8571428571428571,0.14285714285714285,1.0,0.0
core120,single_level,L2,35,35,secondary_cluster_bootstrap,char_tfidf,,1.0285714285714285,0.34285714285714286,0.6285714285714286,0.37142857142857144
